epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,159.931,0.99047,1.74599,2.36034,1.03505,0,0.99188,0.06497,0.29144,0.22381,0.99152,0.06483,0.29208,0.21076,0.88151,1.54973,3.04561,0.9558,0,0.000325397,0.000325397,0.000325397
2,319.16,0.84496,1.36849,1.08537,0.97006,0,0.91624,0.23746,0.37022,0.27254,0.91858,0.23702,0.36856,0.25071,0.89235,1.47494,2.18147,1.01924,0,0.000645687,0.000645687,0.000645687
3,477.578,0.84767,1.33326,0.96686,0.96672,0,0.74729,0.37903,0.41138,0.31235,0.74827,0.37413,0.40862,0.28554,0.79953,1.3809,1.67715,0.96452,0,0.000952778,0.000952778,0.000952778
4,633.36,0.81527,1.27736,0.87877,0.95996,0,0.8855,0.5429,0.58636,0.41509,0.88526,0.53537,0.57849,0.3804,0.79676,1.31567,1.1985,0.94671,0,0.0009406,0.0009406,0.0009406
5,788.222,0.79029,1.21591,0.81869,0.93962,0,0.89477,0.54741,0.58626,0.42,0.8886,0.54821,0.57674,0.35898,0.90895,1.51744,1.36883,1.02066,0,0.0009208,0.0009208,0.0009208
6,940.65,0.79711,1.21419,0.78638,0.94461,0,0.93507,0.59465,0.62905,0.47026,0.92415,0.59039,0.61405,0.412,0.69498,1.11924,0.76034,0.91855,0,0.000901,0.000901,0.000901
7,1095.11,0.74821,1.12648,0.72404,0.92341,0,0.89477,0.59836,0.62355,0.4701,0.89319,0.59705,0.61954,0.43176,0.69842,1.03977,0.75161,0.91542,0,0.0008812,0.0008812,0.0008812
8,1244.33,0.73623,1.13314,0.7086,0.92702,0,0.93822,0.60586,0.63437,0.48441,0.93408,0.6012,0.6282,0.4269,0.64404,1.06115,0.68158,0.9051,0,0.0008614,0.0008614,0.0008614
9,1398.83,0.71662,1.09687,0.68139,0.92433,0,0.95322,0.61467,0.64166,0.48985,0.94984,0.61178,0.63504,0.43183,0.62997,0.98255,0.64988,0.89677,0,0.0008416,0.0008416,0.0008416
10,1548.73,0.7229,1.11221,0.66547,0.92381,0,0.95031,0.60019,0.68272,0.53299,0.94908,0.60168,0.67921,0.47588,0.62846,0.98243,0.66765,0.89625,0,0.0008218,0.0008218,0.0008218
11,1701.96,0.68972,1.09698,0.64511,0.91175,0,0.94114,0.61711,0.68634,0.53852,0.93934,0.61796,0.68185,0.49014,0.60253,0.96715,0.62816,0.88516,0,0.000802,0.000802,0.000802
12,1853.07,0.69662,1.05537,0.61793,0.9164,0,0.95316,0.62507,0.68695,0.53798,0.9526,0.61889,0.68241,0.47939,0.61276,0.97637,0.59875,0.89192,0,0.0007822,0.0007822,0.0007822
13,2008.76,0.69567,1.0643,0.60811,0.90973,0,0.95936,0.61754,0.69195,0.54754,0.95506,0.61316,0.68217,0.48764,0.5945,0.92904,0.58461,0.87821,0,0.0007624,0.0007624,0.0007624
14,2159.74,0.67562,1.02523,0.59771,0.90416,0,0.91944,0.68139,0.69337,0.5501,0.91615,0.67848,0.68425,0.49067,0.60318,0.91449,0.54886,0.88135,0,0.0007426,0.0007426,0.0007426
15,2303.2,0.66351,1.02103,0.57329,0.90206,0,0.91512,0.69021,0.69649,0.56169,0.91325,0.68775,0.69017,0.49999,0.58946,0.90659,0.54306,0.87116,0,0.0007228,0.0007228,0.0007228
16,2451.6,0.66515,1.02822,0.56725,0.90091,0,0.86597,0.68724,0.6962,0.55949,0.86224,0.68341,0.68685,0.48007,0.56658,0.89167,0.53782,0.86802,0,0.000703,0.000703,0.000703
17,2595,0.64892,0.9896,0.55106,0.89461,0,0.9419,0.69394,0.69845,0.56022,0.93932,0.69119,0.69188,0.49894,0.55135,0.85732,0.49571,0.86625,0,0.0006832,0.0006832,0.0006832
18,2740.66,0.63731,0.97002,0.53918,0.88707,0,0.95176,0.68521,0.71766,0.58347,0.94668,0.68046,0.69086,0.50278,0.56065,0.87622,0.50849,0.86775,0,0.0006634,0.0006634,0.0006634
19,2881.59,0.64079,0.99632,0.53808,0.89529,0,0.9531,0.69027,0.82803,0.67655,0.95567,0.68042,0.69372,0.4995,0.53703,0.90272,0.49273,0.85634,0,0.0006436,0.0006436,0.0006436
20,3021.91,0.64605,0.98685,0.53101,0.89215,0,0.9626,0.68442,0.75117,0.61652,0.93298,0.6712,0.69352,0.51247,0.52334,0.87794,0.4609,0.8523,0,0.0006238,0.0006238,0.0006238
21,3167.68,0.62912,1.00444,0.51916,0.88851,0,0.9501,0.71405,0.77556,0.63762,0.86894,0.67224,0.7036,0.51496,0.54625,0.83779,0.45321,0.85489,0,0.000604,0.000604,0.000604
22,3312.25,0.60668,0.95911,0.4921,0.88203,0,0.92689,0.72778,0.79977,0.67094,0.85884,0.68583,0.70175,0.51627,0.51374,0.81821,0.46086,0.84968,0,0.0005842,0.0005842,0.0005842
23,3460.35,0.626,0.96209,0.49882,0.88448,0,0.96587,0.73013,0.76029,0.63084,0.88435,0.68651,0.69704,0.51718,0.51905,0.81645,0.44285,0.85275,0,0.0005644,0.0005644,0.0005644
