epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,743.424,1.03075,1.64458,2.20204,0.97492,0,0.8617,0.82868,0.87897,0.6335,0.84186,0.80847,0.85789,0.59045,0.87175,1.30424,1.42545,0.90132,0,0.00993902,0.00331301,0.00993902,0.00331301,0.00993902,0.00331301,0.00993902,0.00331301
2,1347.28,0.96783,1.3841,1.1266,0.94388,0,0.88284,0.83994,0.89972,0.63591,0.87271,0.83066,0.8842,0.60867,0.87525,1.33407,1.18126,0.90842,0,0.0198601,0.00662002,0.0198601,0.00662002,0.0198601,0.00662002,0.0198601,0.00662002
3,1899.38,1.00861,1.38156,1.03661,0.96538,0,0.83186,0.87948,0.86974,0.61917,0.84009,0.84929,0.86106,0.5802,0.89646,1.35212,1.21005,0.93662,0,0.0297019,0.00990064,0.0297019,0.00990064,0.0297019,0.00990064,0.0297019,0.00990064
4,2500.85,1.00304,1.38418,0.96781,0.97389,0,0.87329,0.84616,0.89819,0.63256,0.83709,0.83005,0.86909,0.57118,0.91826,1.3185,1.06614,0.93728,0,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
5,3149.88,0.98535,1.36162,0.87859,0.96699,0,0.89324,0.86876,0.90787,0.62336,0.89026,0.86463,0.90246,0.58944,0.9233,1.29498,0.91972,0.95786,0,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
6,3734.06,0.96862,1.30586,0.81015,0.95863,0,0.9375,0.88452,0.9303,0.67984,0.91734,0.86251,0.89828,0.61085,0.86421,1.23412,0.82625,0.92483,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
7,4290.18,0.9331,1.25019,0.75329,0.95438,0,0.9122,0.92577,0.95108,0.69547,0.90856,0.92207,0.94546,0.67955,0.8301,1.17031,0.74132,0.91094,0,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
8,4866.92,0.91061,1.20808,0.70073,0.94281,0,0.93612,0.91202,0.94994,0.70641,0.91814,0.90063,0.932,0.64,0.81929,1.19011,0.68227,0.90859,0,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
9,5446.74,0.8843,1.18729,0.67508,0.93686,0,0.93897,0.91626,0.94275,0.68849,0.9366,0.91417,0.93861,0.66031,0.85772,1.20609,0.67501,0.92535,0,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
10,6014.13,0.87714,1.18151,0.65016,0.93606,0,0.91762,0.91376,0.93936,0.70087,0.9291,0.89746,0.93609,0.65201,0.76245,1.18817,0.65987,0.90716,0,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
11,6589.84,0.86066,1.14428,0.63336,0.93119,0,0.96175,0.92808,0.96689,0.73822,0.95896,0.92119,0.96072,0.67686,0.76309,1.06807,0.60421,0.89703,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
12,7168,0.84941,1.14782,0.61368,0.92641,0,0.94694,0.90899,0.9497,0.73147,0.94577,0.90105,0.9446,0.70099,0.75923,1.10691,0.59518,0.89428,0,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
13,7756.49,0.84115,1.12203,0.5985,0.92221,0,0.94527,0.90521,0.95391,0.73104,0.94488,0.90261,0.94799,0.68839,0.76652,1.11411,0.5888,0.90041,0,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
14,8349.09,0.83272,1.12466,0.58054,0.92289,0,0.94982,0.92703,0.9635,0.73664,0.95023,0.91505,0.94447,0.69543,0.72578,1.08995,0.55256,0.89067,0,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
15,8938.93,0.81564,1.09122,0.56389,0.91095,0,0.94155,0.94986,0.95899,0.74046,0.93178,0.9388,0.95539,0.71941,0.7151,1.10826,0.54948,0.89086,0,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
16,9517.44,0.80208,1.07028,0.55526,0.9109,0,0.95587,0.93865,0.95744,0.7404,0.94266,0.92368,0.94753,0.71742,0.72825,1.11844,0.55478,0.88623,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
17,10106.2,0.79608,1.06852,0.55231,0.90666,0,0.95803,0.93099,0.96079,0.75195,0.95111,0.92431,0.95579,0.71453,0.69222,1.15416,0.54315,0.87768,0,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
18,10673.3,0.79348,1.06159,0.5387,0.90371,0,0.95425,0.94405,0.96595,0.75623,0.95039,0.91718,0.95186,0.72801,0.70936,1.12917,0.52966,0.88971,0,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
19,11231.3,0.78533,1.054,0.53642,0.89905,0,0.94697,0.92329,0.96049,0.75203,0.94304,0.91946,0.94793,0.72598,0.71022,1.09341,0.51888,0.87204,0,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
20,11792.9,0.77871,1.04459,0.52678,0.90243,0,0.95617,0.94774,0.96675,0.77138,0.94751,0.93935,0.95197,0.68555,0.69625,1.05565,0.50137,0.88129,0,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
21,12366.7,0.77442,1.03644,0.52025,0.8996,0,0.95865,0.9388,0.96342,0.76462,0.95319,0.92901,0.95339,0.74597,0.69846,1.09931,0.50128,0.87506,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
